DateOfValuation	Size SqM	SqFt	PropertyType	NoOfFloors	ADDRESS	SCHEME	PRICE	YEAR	pricePerSqft
3/3/2017	75	807	Condominium/Apartment	18	C-08-06,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/10/2017	75	807	Condominium/Apartment	18	C-08-10,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
21/04/2017	75	807	Condominium/Apartment	18	C-05-10,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-09-08,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-05-01,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
6/1/2018	75	807	Condominium/Apartment	18	C-12-05,JLN SG BESI	1 RAZAK MANSION	42000	2018	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-11-09,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	75	807	Condominium/Apartment	18	C-05-02,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.02575275
3/3/2017	74.32	800	Condominium/Apartment	18	C-08-03,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.50176878
4/4/2017	74.32	800	Condominium/Apartment	18	C-08-3A,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.50176878
3/3/2017	74.32	800	Condominium/Apartment	18	C-11-01,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.50176878
3/3/2017	74.32	800	Condominium/Apartment	18	C-11-10,JLN SG BESI	1 RAZAK MANSION	42000	2017	52.50176878
27/08/2018	75	807	Condominium/Apartment	18	B-05-02,JLN RAZAK MANSION	1 RAZAK MANSION	240000	2018	297.2900157
26/07/2017	75	807	Condominium/Apartment	18	B-13-12,JLN SG BESI	1 RAZAK MANSION	250000	2017	309.6770997
4/7/2018	74.32	800	Condominium/Apartment	18	A-10-1,JLN SG BESI	1 RAZAK MANSION	250000	2018	312.5105285
18/10/2019	75	807	Condominium/Apartment	18	B-09-06,JLN RAZAK MANSION	1 RAZAK MANSION	275000	2019	340.6448097
5/9/2019	75	807	Condominium/Apartment	18	B-17-15,JLN RAZAK MANSION	1 RAZAK MANSION	275000	2019	340.6448097
15/04/2021	75	807	Condominium/Apartment	18	B-05-06,JLN RAZAK MANSION	1 RAZAK MANSION	280000	2021	346.8383517
7/8/2020	75	807	Condominium/Apartment	18	A-17-2,JLN RAZAK MANSION	1 RAZAK MANSION	285000	2020	353.0318936
3/2/2020	75	807	Condominium/Apartment	18	A-11-3A,JLN RAZAK MANSION	1 RAZAK MANSION	285000	2020	353.0318936
4/12/2019	75	807	Condominium/Apartment	18	A-11-01,JLN RAZAK MANSION	1 RAZAK MANSION	290000	2019	359.2254356
12/6/2019	75	807	Condominium/Apartment	18	B-08-09,JLN RAZAK MANSION	1 RAZAK MANSION	290000	2019	359.2254356
9/10/2020	75	807	Condominium/Apartment	18	A-06-2,JLN RAZAK MANSION	1 RAZAK MANSION	295000	2020	365.4189776
9/3/2020	75	807	Condominium/Apartment	18	A-12-8,JLN RAZAK MANSION	1 RAZAK MANSION	300000	2020	371.6125196
9/1/2020	75	807	Condominium/Apartment	18	B-08-06,JLN RAZAK MANSION	1 RAZAK MANSION	300000	2020	371.6125196
29/06/2020	75	807	Condominium/Apartment	18	A-13-08,JLN RAZAK MANSION	1 RAZAK MANSION	310000	2020	383.9996036
3/3/2021	75	807	Condominium/Apartment	18	A-14-15,JLN RAZAK MANSION	1 RAZAK MANSION	315000	2021	390.1931456
21/07/2017	75	807	Condominium/Apartment	18	A-16-13A,JLN SG BESI	1 RAZAK MANSION	330000	2017	408.7737716
8/7/2020	86	926	Condominium/Apartment	10	53-6-3,JLN 3/109C	ABADI INDAH APARTMENT	190000	2020	205.251101
19/03/2021	86	926	Condominium/Apartment	10	55-4-4,JLN 3/109C	ABADI INDAH APARTMENT	200000	2021	216.0537905
7/1/2020	77	829	Condominium/Apartment	10	9-6-9,JLN 3/109C	ABADI INDAH APARTMENT	192000	2020	231.6545577
14/07/2020	86	926	Condominium/Apartment	12	9-5-7(B-5-7),JLN 3/109C	ABADI INDAH APARTMENT	240000	2020	259.2645486
6/11/2019	86	926	Condominium/Apartment	10	53-1-7,JLN 3/109C	ABADI INDAH APARTMENT	250000	2019	270.0672381
18/06/2019	56	603	Condominium/Apartment	12	F-7-1,JLN 3/109C	ABADI INDAH APARTMENT	167000	2019	277.0504053
14/07/2020	77	829	Condominium/Apartment	10	9-5-9,JLN 3/109C	ABADI INDAH APARTMENT	235000	2020	283.5355263
15/12/2020	77	829	Condominium/Apartment	10	51-8-5,JLN 3/109C	ABADI INDAH APARTMENT	235000	2020	283.5355263
2/7/2019	86	926	Condominium/Apartment	10	55-1-9 (E-1-9),JLN KELANG LAMA	ABADI INDAH APARTMENT	268000	2019	289.5120792
14/11/2019	77	829	Condominium/Apartment	10	7-6-12,JLN 3/109C	ABADI INDAH APARTMENT	240000	2019	289.5681971
16/12/2019	77	829	Condominium/Apartment	10	51-7-5,JLN 3/109C	ABADI INDAH APARTMENT	240000	2019	289.5681971
13/12/2018	86	926	Condominium/Apartment	10	53-1-6,JLN 3/109C	ABADI INDAH APARTMENT	270000	2018	291.6726171
12/10/2020	86	926	Condominium/Apartment	10	55-3-10,JLN 3/109C	ABADI INDAH APARTMENT	270000	2020	291.6726171
10/11/2018	88	947	Condominium/Apartment	10	53-3-12 (D-3-12),JLN 3/109C	ABADI INDAH APARTMENT	278000	2018	293.4894331
29/10/2019	79	850	Condominium/Apartment	12	51-5-16,JLN 3/109C	ABADI INDAH APARTMENT	250000	2019	293.9972465
8/12/2020	56	603	Condominium/Apartment	12	F-10-01,JLN 3/109C	ABADI INDAH APARTMENT	180000	2020	298.6172033
10/7/2019	77	829	Condominium/Apartment	12	9-5-6,JLN 3/109C	ABADI INDAH APARTMENT	248000	2019	299.2204703
18/07/2018	88	947	Condominium/Apartment	10	55-7-11,JALAN 3/109C	ABADI INDAH APARTMENT	285000	2018	300.8794548
31/01/2020	88	947	Condominium/Apartment	10	55-9-11 (E-9-11),JLN 3/109C	ABADI INDAH APARTMENT	285000	2020	300.8794548
24/05/2019	55.554	598	Condominium/Apartment	12	F-10-01,JLN 3/109C	ABADI INDAH APARTMENT	180000	2019	301.0145693
29/05/2017	77	829	Condominium/Apartment	12	7-9-10 (P: A-9-10),JLN 3/109C	ABADI INDAH APARTMENT	250000	2017	301.6335387
16/12/2019	77	829	Condominium/Apartment	12	7-5-5 (A-5-5),JLN 3/109C	ABADI INDAH APARTMENT	250000	2019	301.6335387
21/06/2019	56	603	Condominium/Apartment	12	F-10-06,JLN 3/109C	ABADI INDAH APARTMENT	182000	2019	301.9351722
10/11/2018	86	926	Condominium/Apartment	10	55-5-3,JLN 3/109C	ABADI INDAH APARTMENT	280000	2018	302.4753067
11/9/2018	60	646	Condominium/Apartment	12	A-9-1,JLN 2/109C	ABADI INDAH APARTMENT	197000	2018	305.0319432
21/07/2020	77	829	Condominium/Apartment	12	7-10-12 (A-10-12),JLN 3/109C	ABADI INDAH APARTMENT	255000	2020	307.6662094
3/9/2021	75	807	Condominium/Apartment	12	7-1-13,JLN 3/109C	ABADI INDAH APARTMENT	250000	2021	309.6770997
23/09/2019	75	807	Condominium/Apartment	10	7-11-4(A-11-4),JLN 3/109C	ABADI INDAH APARTMENT	250000	2019	309.6770997
18/03/2019	86	926	Condominium/Apartment	10	55-4-6(E-4-6),JLN 3/109C	ABADI INDAH APARTMENT	290000	2019	313.2779962
20/04/2018	77	829	Condominium/Apartment	12	9-7-4,JLN 3/109C	ABADI INDAH APARTMENT	260000	2018	313.6988802
29/06/2020	77	829	Condominium/Apartment	12	51-6-13,JLN 3/109C	ABADI INDAH APARTMENT	260000	2020	313.6988802
3/5/2020	77	829	Condominium/Apartment	10	7-6-7,JLN 3/109C	ABADI INDAH APARTMENT	260000	2020	313.6988802
12/7/2018	60	646	Condominium/Apartment	12	A-1-1 (M1-1-1),JLN 2/109C	ABADI INDAH APARTMENT	205000	2018	317.4190272
25/06/2020	79	850	Condominium/Apartment	10	7-8-16,JLN 3/109C	ABADI INDAH APARTMENT	270000	2020	317.5170263
5/2/2019	58	624	Condominium/Apartment	12	D-2-3,JLN 2/109C	ABADI INDAH APARTMENT	199000	2019	318.7538423
5/10/2019	77	829	Condominium/Apartment	12	51-6-3 (C-6-3),JLN 3/109C	ABADI INDAH APARTMENT	265000	2019	319.731551
14/01/2021	77	829	Condominium/Apartment	12	9-8-7,JLN 3/109C	ABADI INDAH APARTMENT	270000	2021	325.7642217
7/10/2018	75	807	Condominium/Apartment	10	9-12-10,JLN 3/109C	ABADI INDAH APARTMENT	265000	2018	328.2577257
5/6/2020	56	603	Condominium/Apartment	12	F-9-15,JLN 2/109C	ABADI INDAH APARTMENT	199000	2020	330.1379081
26/07/2018	77	829	Condominium/Apartment	12	9-9-4,JLN 3/109C	ABADI INDAH APARTMENT	275000	2018	331.7968925
4/4/2019	77	829	Condominium/Apartment	12	51-8-9,JLN 3/109C	ABADI INDAH APARTMENT	275000	2019	331.7968925
13/11/2017	56	603	Condominium/Apartment	12	F-4-9(P:B-4-9),JLN 2/109C	ABADI INDAH APARTMENT	200000	2017	331.7968925
30/03/2018	86	926	Condominium/Apartment	10	53-5-5,JLN 3/109C	ABADI INDAH APARTMENT	310000	2018	334.8833752
5/9/2019	77	829	Condominium/Apartment	12	7-5-12,JALAN 3/109C	ABADI INDAH APARTMENT	280000	2019	337.8295633
22/10/2019	88	947	Condominium/Apartment	10	55-6-2,JLN 3/109C	ABADI INDAH APARTMENT	320000	2019	337.8295633
19/03/2019	88	947	Condominium/Apartment	10	55-9-1,JLN 3/109C	ABADI INDAH APARTMENT	320000	2019	337.8295633
20/08/2018	77	829	Condominium/Apartment	10	7-10-6,JLN 3/109C	ABADI INDAH APARTMENT	280000	2018	337.8295633
3/10/2020	77	829	Condominium/Apartment	10	9-9-8,JLN 3/109C	ABADI INDAH APARTMENT	280000	2020	337.8295633
13/08/2020	77	829	Condominium/Apartment	10	51-4-14,JLN 3/109C	ABADI INDAH APARTMENT	280000	2020	337.8295633
23/02/2017	86	926	Condominium/Apartment	10	53-5-9,JLN 3/109C	ABADI INDAH APARTMENT	315000	2017	340.28472
22/07/2019	75	807	Condominium/Apartment	12	7-11-10,JLN 3/109C	ABADI INDAH APARTMENT	275000	2019	340.6448097
23/09/2020	86	926	Condominium/Apartment	10	55-5-9,JALAN 3/109C	ABADI INDAH APARTMENT	320000	2020	345.6860648
23/06/2017	86	926	Condominium/Apartment	10	55-6-4,JLN 3/109C	ABADI INDAH APARTMENT	322000	2017	347.8466027
6/7/2018	88	947	Condominium/Apartment	10	55-5-12(P:E-5-12),JLN 3/109C	ABADI INDAH APARTMENT	330000	2018	348.3867371
10/5/2017	58	624	Condominium/Apartment	12	A-7-6,JLN 2/109C	ABADI INDAH APARTMENT	220000	2017	352.3911824
8/7/2019	58	624	Condominium/Apartment	12	A-6-4,JLN 2/109C	ABADI INDAH APARTMENT	220000	2019	352.3911824
14/05/2018	79	850	Condominium/Apartment	13	7-10-15 (A-10-15),JLN 3/109C	ABADI INDAH APARTMENT	300000	2018	352.7966958
8/1/2017	86	926	Condominium/Apartment	10	55-9-8,JLN 3/109C	ABADI INDAH APARTMENT	330000	2017	356.4887543
25/10/2017	86	926	Condominium/Apartment	10	55-5-8 (E-5-8),JLN 3/109C	ABADI INDAH APARTMENT	330000	2017	356.4887543
21/11/2017	88	947	Condominium/Apartment	10	55-8-2,JALAN 3/109C	ABADI INDAH APARTMENT	340000	2017	358.943911
8/11/2017	75	807	Condominium/Apartment	12	51-2-5,JLN 3/109C	ABADI INDAH APARTMENT	290000	2017	359.2254356
4/9/2018	77	829	Condominium/Apartment	12	9-7-6,JLN 3/109C	ABADI INDAH APARTMENT	300000	2018	361.9602464
28/11/2018	77	829	Condominium/Apartment	12	9-10-7,JLN 3/109C	ABADI INDAH APARTMENT	300000	2018	361.9602464
26/08/2019	86	926	Condominium/Apartment	10	55-4-3,JLN 3/109C	ABADI INDAH APARTMENT	340000	2019	367.2914438
20/06/2017	77	829	Condominium/Apartment	12	7-7-9,JLN 3/109C	ABADI INDAH APARTMENT	305000	2017	367.9929172
29/03/2017	77	829	Condominium/Apartment	10	7-6-5,JLN 3/109C	ABADI INDAH APARTMENT	305000	2017	367.9929172
4/10/2017	88	947	Condominium/Apartment	10	53-9-11(P:D-9-11),JALAN 3/109C	ABADI INDAH APARTMENT	350000	2017	369.5010849
27/02/2018	77	829	Condominium/Apartment	12	7-8-12 (A-8-12),JLN 3/109C	ABADI INDAH APARTMENT	310000	2018	374.0255879
15/05/2017	86	926	Condominium/Apartment	10	55-8-7 (P: E-8-7,JLN 3/109C	ABADI INDAH APARTMENT	348000	2017	375.9335954
14/12/2018	86	926	Condominium/Apartment	10	56-6-6,JLN 3/109C	ABADI INDAH APARTMENT	350000	2018	378.0941333
17/05/2019	86	926	Condominium/Apartment	10	55-10-9,JLN 3/109C	ABADI INDAH APARTMENT	350000	2019	378.0941333
19/10/2017	77	829	Condominium/Apartment	10	9-9-11,JLN 3/109C	ABADI INDAH APARTMENT	315000	2017	380.0582587
28/06/2017	79	850	Condominium/Apartment	12	9-7-15,JLN 3/109C	ABADI INDAH APARTMENT	325000	2017	382.1964205
29/08/2017	86	926	Condominium/Apartment	10	55-8-4,JLN 3/109C	ABADI INDAH APARTMENT	355000	2017	383.4954781
10/2/2018	77.11	830	Condominium/Apartment	12	7-3-12,JLN 3/109C	ABADI INDAH APARTMENT	320000	2018	385.5401578
10/2/2018	77.11	830	Condominium/Apartment	12	7-3-12,JLN 3/109C	ABADI INDAH APARTMENT	320000	2018	385.5401578
18/06/2020	77	829	Condominium/Apartment	12	51-8-10,JLN 3/109C	ABADI INDAH APARTMENT	320000	2020	386.0909295
3/6/2020	77	829	Condominium/Apartment	10	7-10-10,JLN 3/109C	ABADI INDAH APARTMENT	325000	2020	392.1236003
16/08/2018	58	624	Condominium/Apartment	12	B-3-4,JLN 2/109C	ABADI INDAH APARTMENT	245000	2018	392.4356349
6/7/2017	75	807	Condominium/Apartment	12	7-11-13,JALAN 3/109C	ABADI INDAH APARTMENT	320000	2017	396.3866876
10/2/2018	75	807	Condominium/Apartment	12	7-3-12,JLN 3/109C	ABADI INDAH APARTMENT	320000	2018	396.3866876
24/07/2017	77	829	Condominium/Apartment	10	51-6-5 (C-6-5),JLN 3/109C	ABADI INDAH APARTMENT	330000	2017	398.156271
13/08/2018	77	829	Condominium/Apartment	10	7-9-4,JLN 3/109C	ABADI INDAH APARTMENT	330000	2018	398.156271
19/04/2017	86	926	Condominium/Apartment	10	55-1-11,JLN 3/109C	ABADI INDAH APARTMENT	370000	2017	399.6995124
5/2/2017	58	624	Condominium/Apartment	12	A-3-9,JLN 2/109C	ABADI INDAH APARTMENT	250000	2017	400.4445255
10/5/2017	58	624	Condominium/Apartment	12	A-8-12,JLN 2/109C	ABADI INDAH APARTMENT	250000	2017	400.4445255
9/12/2017	58	624	Condominium/Apartment	12	A-9-8,JLN 2/109C	ABADI INDAH APARTMENT	250000	2017	400.4445255
2/12/2018	60	646	Condominium/Apartment	12	A-12-2,JLN 3/109C	ABADI INDAH APARTMENT	260000	2018	402.5802296
19/04/2017	79	850	Condominium/Apartment	12	9-9-1,  ABADI INDAH,JLN 3/109C	ABADI INDAH APARTMENT	343000	2017	403.3642223
9/4/2017	75	807	Condominium/Apartment	10	7-12-11,JLN 3/109C	ABADI INDAH APARTMENT	330000	2017	408.7737716
9/6/2017	77	829	Condominium/Apartment	10	7-4-11,JLN 3/109C	ABADI INDAH APARTMENT	340000	2017	410.2216126
16/02/2017	58	624	Condominium/Apartment	12	E-2-3,JLN 2/109C	ABADI INDAH APARTMENT	260000	2017	416.4623065
12/11/2017	77	829	Condominium/Apartment	10	7-7-6,JLN 3/109C	ABADI INDAH APARTMENT	356000	2017	429.526159
3/12/2018	86	926	Condominium/Apartment	10	53-4-8(D-4-8),JLN 3/109C	ABADI INDAH APARTMENT	400000	2018	432.107581
4/3/2017	75	807	Condominium/Apartment	10	9-12-8(B-12-8),JLN 3/109C	ABADI INDAH APARTMENT	350000	2017	433.5479396
10/12/2017	77.107	830	Condominium/Apartment	10	7-12-3, ABADI INDAH,JLN 3/109C	ABADI INDAH APARTMENT	380000	2017	457.8467502
15/12/2017	203	2185	Condominium/Apartment	9	B-2-7,JLN 2/105C, TMN ABADI INDAH	ABADI RIA KONDOMINIUM	700000	2017	320.3556204
1/4/2019	141	1518	Condominium/Apartment	9	AR/4/2,JLN 2/105C, TMN ABADI INDAH	ABADI RIA KONDOMINIUM	580000	2019	382.1547188
2/8/2019	176	1894	Condominium/Apartment	9	2-5,JLN 2/105C, TMN ABADI INDAH	ABADI RIA KONDOMINIUM	850000	2019	448.6798888
4/3/2018	141	1518	Condominium/Apartment	9	8-6,JLN 2/105C, TMN ABADI INDAH	ABADI RIA KONDOMINIUM	750000	2018	494.1655846
1/6/2017	221	2379	Condominium/Apartment	9	2-7,JLN 2/105C, TMN ABADI INDAH	ABADI RIA KONDOMINIUM	1300000	2017	546.4889994
11/10/2017	141	1518	Condominium/Apartment	9	5-5,JLN 2/105C, TMN ABADI INDAH	ABADI RIA KONDOMINIUM	865000	2017	569.9376409
3/10/2021	403	4338	Condominium/Apartment	22	B-24-1 (P: B-22-1),JLN KELANG LAMA	ABADI VILLA	800000	2021	184.4230867
14/09/2017	403	4338	Condominium/Apartment	22	B-24-4,JALAN 2/109C	ABADI VILLA	1000000	2017	230.5288583
21/10/2019	113	1216	Condominium/Apartment	22	A-7-2,JALAN 2/109C	ABADI VILLA	373000	2019	306.6625439
22/05/2018	111	1195	Condominium/Apartment	16	A-9-6 (A-8-4),JLN 2/109C	ABADI VILLA	415000	2018	347.3405307
27/08/2019	113	1216	Condominium/Apartment	22	B-19-5,JLN 2/109C	ABADI VILLA	430000	2019	353.5251846
22/01/2019	111	1195	Condominium/Apartment	22	B-9-6 (B-7-4),JALAN 2/109C	ABADI VILLA	440000	2019	368.2646591
24/12/2018	113	1216	Condominium/Apartment	22	B-10-4 (P: B-8-6),JLN 2/109C	ABADI VILLA	450000	2018	369.9682164
30/11/2018	113	1216	Condominium/Apartment	22	B-7-5 (B-5-5),JLN 2/109C	ABADI VILLA	450000	2018	369.9682164
27/08/2019	113	1216	Condominium/Apartment	18	C-9-4,JLN 2/109C	ABADI VILLA	450000	2019	369.9682164
27/07/2017	113	1216	Condominium/Apartment	17	A-15-4 (A-14-6),JLN KELANG LAMA	ABADI VILLA	450000	2017	369.9682164
19/10/2020	113	1216	Condominium/Apartment	22	C-10-2(C-8-2),JLN KELANG LAMA	ABADI VILLA	470000	2020	386.4112483
31/12/2018	113	1216	Condominium/Apartment	18	A-16-3,JLN 2/109C	ABADI VILLA	485000	2018	398.7435222
28/08/2018	112	1206	Condominium/Apartment	16	B-6-6(B-4-4),JLN 2/109C	ABADI VILLA	490000	2018	406.4511933
25/07/2019	111	1195	Condominium/Apartment	22	B-8-1,JLN 2/109C	ABADI VILLA	488000	2019	408.4389855
27/08/2019	112	1206	Condominium/Apartment	22	A-4-1,JALAN 2/109C	ABADI VILLA	500000	2019	414.7461157
27/07/2017	111	1195	Condominium/Apartment	18	B-21-6,JLN 2/109C	ABADI VILLA	499000	2017	417.645602
20/11/2017	111	1195	Condominium/Apartment	22	B-13-1 (B-11-3),JLN KELANG LAMA	ABADI VILLA	520000	2017	435.2218698
4/2/2019	113	1216	Condominium/Apartment	22	A-9-2,JLN 2/109C	ABADI VILLA	530000	2019	435.7403438
10/12/2020	255	2745	Condominium/Apartment	4	Q1-05-3,JLN PANTAI PERMAI	ANDALUCIA	950000	2020	346.1096997
17/12/2020	255	2745	Condominium/Apartment	4	P1-01-1,JLN PANTAI PERMAI	ANDALUCIA	980000	2020	357.0394796
20/12/2019	124	1335	Condominium/Apartment	4	Q1-02-3,JLN PANTAI PERMAI	ANDALUCIA	493580	2019	369.7994102
26/02/2021	125	1345	Condominium/Apartment	4	P2-01-2,JLN PANTAI PERMAI	ANDALUCIA	690000	2021	512.8252771
20/02/2020	135.79	1462	Condominium/Apartment	4	Q6-2-3,JLN PANTAI PERMAI	ANDALUCIA	760000	2020	519.9674404
10/12/2020	125	1345	Condominium/Apartment	4	N3-1-2,JLN PANTAI PERMAI	ANDALUCIA	700000	2020	520.2575275
22/01/2020	125	1345	Condominium/Apartment	5	Q3-3A-2,JLN PANTAI DALAM, FASA 1	ANDALUCIA	750000	2020	557.4187794
9/6/2018	121	1302	Condominium/Apartment	4	N1-03-03,JLN PANTAI PERMAI	ANDALUCIA	760000	2018	583.5237911
7/9/2018	133	1432	Condominium/Apartment	4	N2-L2-3,JLN PANTAI PERMAI	ANDALUCIA	850000	2018	593.7418077
17/05/2018	124	1335	Condominium/Apartment	4	P3-1-1,JLN PANTAI PERMAI	ANDALUCIA	820000	2018	614.3594074
23/09/2020	159	1711	Condominium/Apartment	10	22B-6-4,JLN KAPAS	ARAVILLE	900000	2020	525.8667731
24/07/2019	159	1711	Condominium/Apartment	16	22B-5-1,JLN KAPAS	ARAVILLE	975000	2019	569.6890041
14/02/2020	192	2067	Condominium/Apartment	16	22B-10-2,JLN KAPAS	ARAVILLE	1200000	2020	580.6445619
24/09/2020	159	1711	Condominium/Apartment	16	22B-8-1,JLN KAPAS	ARAVILLE	1100000	2020	642.726056
13/01/2020	192	2067	Condominium/Apartment	10	22B-11-3,JLN KAPAS	ARAVILLE	1400000	2020	677.4186556
9/11/2017	192	2067	Condominium/Apartment	16	22A-6-3,JLN KAPAS	ARAVILLE	1525000	2017	737.9024641
21/02/2018	192	2067	Condominium/Apartment	16	22B-9-2,JLN KAPAS	ARAVILLE	1600000	2018	774.1927492
5/5/2017	159	1711	Condominium/Apartment	16	22B-6-1,JLN KAPAS	ARAVILLE	1350000	2017	788.8001596
27/03/2018	181	1948	Condominium/Apartment	12	10-10-3A,JALAN 11/91,TMN SHAMELIN PERKASA,	ASTAKA HEIGHTS APARTMENTS	200000	2018	102.6553922
2/1/2020	198	2131	Condominium/Apartment	12	10-10-7,JALAN 11/91,TMN SHAMELIN PERKASA,	ASTAKA HEIGHTS APARTMENTS	300000	2020	140.762318
18/08/2018	174.373	1877	Condominium/Apartment	12	10-10-5,JLN 11/91	ASTAKA HEIGHTS APARTMENTS	600000	2018	319.67035
30/12/2019	103.96	1119	Condominium/Apartment	12	10-5-9,JALAN 11/91,TMN SHAMELIN PERKASA,	ASTAKA HEIGHTS APARTMENTS	390000	2019	348.5207836
6/1/2018	110	1184	Condominium/Apartment	12	10-7-11,JALAN 11/91	ASTAKA HEIGHTS APARTMENTS	415000	2018	350.4981719
12/3/2018	100	1076	Condominium/Apartment	12	10-7-3,JALAN 11/91,TMN SHAMELIN PERKASA,	ASTAKA HEIGHTS APARTMENTS	380000	2018	353.0318936
31/12/2018	100	1076	Condominium/Apartment	12	10-5-8,JALAN 11/91,TMN SHAMELIN PERKASA,	ASTAKA HEIGHTS APARTMENTS	388000	2018	360.464144
30/12/2019	100	1076	Condominium/Apartment	12	10-5-9,JALAN 11/91,TMN SHAMELIN PERKASA,	ASTAKA HEIGHTS APARTMENTS	390000	2019	362.3222066
27/05/2020	100	1076	Condominium/Apartment	12	10-3-16,JALAN 11/91	ASTAKA HEIGHTS APARTMENTS	395000	2020	366.9673631
21/03/2018	110	1184	Condominium/Apartment	12	10-1-7,JALAN 11/91	ASTAKA HEIGHTS APARTMENTS	440000	2018	371.6125196
30/05/2019	100	1076	Condominium/Apartment	12	10-2-15,JALAN 11/91,TMN SHAMELIN PERKASA,	ASTAKA HEIGHTS APARTMENTS	405000	2019	376.2576761
